KEY_DISTRITO,KEY_SECCION,Num_Obres_Recents
02,001,1
05,001,14
06,001,0
10,001,0
08,001,0
03,001,0
01,001,4
09,001,2
04,001,0
07,001,0
06,002,0
02,002,0
07,002,0
10,002,1
05,002,1
09,002,0
04,002,1
01,002,1
03,002,0
08,002,1
08,003,0
03,003,0
04,003,0
02,003,1
09,003,0
05,003,1
10,003,0
01,003,0
07,003,0
06,003,0
08,004,0
03,004,0
07,004,0
09,004,0
05,004,0
10,004,0
04,004,1
01,004,3
06,004,1
02,004,0
04,005,0
05,005,3
03,005,0
09,005,5
01,005,1
10,005,1
07,005,1
02,005,0
08,005,0
02,006,1
05,006,1
10,006,0
03,006,0
01,006,0
09,006,1
07,006,0
08,006,0
04,006,0
06,006,4
04,007,0
07,007,0
09,007,4
02,007,0
10,007,0
05,007,4
03,007,0
06,007,0
08,007,0
01,007,0
04,008,0
02,008,0
08,008,0
03,008,0
09,008,3
06,008,0
05,008,3
07,008,0
10,008,1
01,008,3
06,009,3
01,009,0
07,009,0
10,009,0
04,009,0
08,009,1
09,009,0
05,009,0
02,009,1
03,009,0
10,010,0
04,010,1
08,010,0
03,010,0
02,010,0
05,010,0
09,010,1
01,010,0
07,010,0
06,010,1
01,011,0
05,011,0
07,011,0
08,011,0
09,011,1
04,011,0
03,011,0
06,011,1
10,011,0
02,011,0
04,012,0
01,012,0
05,012,0
08,012,0
02,012,0
10,012,0
07,012,0
03,012,0
06,012,1
03,013,0
04,013,0
10,013,0
07,013,0
02,013,0
09,013,0
05,013,0
01,013,0
08,013,0
06,013,1
03,014,1
05,014,0
07,014,0
02,014,0
08,014,0
06,014,1
04,014,0
09,014,0
10,014,1
01,014,0
10,015,0
06,015,2
04,015,0
01,015,0
08,015,0
07,015,0
09,015,1
05,015,0
02,015,0
03,015,0
06,016,1
04,016,0
01,016,0
02,016,1
10,016,0
03,016,0
09,016,0
08,016,0
05,016,0
07,016,0
02,017,0
04,017,1
09,017,0
07,017,1
06,017,0
03,017,0
10,017,0
05,017,0
01,017,0
08,017,0
01,018,2
07,018,0
03,018,0
09,018,0
02,018,0
05,018,0
10,018,0
04,018,0
06,018,1
08,018,0
05,019,1
10,019,0
07,019,0
