KEY_DISTRITO,KEY_SECCION,Pob_0_14_anys,Pob_15_24_anys,Pob_25_39_anys,Pob_40_64_anys,Pob_65_o_mas,Pob_Total_Seccio,Pct_Pob_0_14_anys,Pct_Pob_15_24_anys,Pct_Pob_25_39_anys,Pct_Pob_40_64_anys,Pct_Pob_65_o_mas
01,001,176.0,117.0,472.0,464.0,172.0,1401.0,12.562455389007852,8.35117773019272,33.69022127052106,33.1192005710207,12.276945039257674
01,002,122.0,134.0,521.0,365.0,147.0,1289.0,9.464701318851823,10.39565554693561,40.4189294026377,28.316524437548484,11.404189294026377
01,003,727.0,463.0,1071.0,1071.0,365.0,3697.0,19.664592913172843,12.523667838788208,28.969434676764944,28.969434676764944,9.872869894509062
01,004,345.0,378.0,1055.0,1019.0,270.0,3067.0,11.248777306814477,12.324747310074992,34.39843495272253,33.22464949462015,8.803390935767851
01,005,269.0,305.0,800.0,771.0,274.0,2419.0,11.120297643654403,12.608515915667631,33.07151715584952,31.87267465894998,11.326994625878461
01,006,204.0,223.0,598.0,585.0,160.0,1770.0,11.525423728813559,12.598870056497175,33.78531073446327,33.05084745762712,9.03954802259887
01,007,284.0,228.0,690.0,714.0,130.0,2046.0,13.880742913000976,11.143695014662756,33.724340175953074,34.89736070381232,6.35386119257087
01,008,523.0,389.0,1066.0,1046.0,326.0,3350.0,15.611940298507463,11.611940298507463,31.82089552238806,31.223880597014926,9.731343283582088
01,009,316.0,246.0,787.0,771.0,227.0,2347.0,13.463996591393268,10.48146570089476,33.532168726033234,32.85044737963357,9.671921602045163
01,010,367.0,320.0,925.0,849.0,195.0,2656.0,13.817771084337348,12.048192771084338,34.82680722891566,31.96536144578313,7.341867469879518
01,011,445.0,408.0,1164.0,1112.0,230.0,3359.0,13.247990473355165,12.146472164334623,34.65317058648407,33.10509080083358,6.847275974992558
01,012,231.0,224.0,687.0,697.0,186.0,2025.0,11.407407407407408,11.06172839506173,33.925925925925924,34.41975308641975,9.185185185185185
01,013,179.0,186.0,418.0,515.0,160.0,1458.0,12.277091906721536,12.757201646090536,28.669410150891633,35.32235939643347,10.973936899862826
01,014,172.0,237.0,559.0,704.0,187.0,1859.0,9.252286175363098,12.748789671866595,30.069930069930066,37.8698224852071,10.059171597633137
01,015,293.0,262.0,863.0,835.0,212.0,2465.0,11.886409736308316,10.628803245436105,35.01014198782961,33.874239350912774,8.600405679513184
01,016,255.0,244.0,669.0,810.0,165.0,2143.0,11.89920671955203,11.38590760615959,31.21791880541297,37.7974801679888,7.699486700886607
01,017,315.0,326.0,905.0,958.0,214.0,2718.0,11.589403973509933,11.99411331861663,33.296541574687275,35.246504782928625,7.873436350257543
01,018,165.0,247.0,486.0,549.0,194.0,1641.0,10.054844606946983,15.051797684338819,29.61608775137112,33.45521023765997,11.82205971968312
01,019,317.0,339.0,1132.0,956.0,247.0,2991.0,10.598462052825141,11.334002006018054,37.84687395519893,31.962554329655635,8.25810765630224
01,020,138.0,233.0,891.0,734.0,350.0,2346.0,5.88235294117647,9.931798806479113,37.97953964194373,31.287297527706738,14.919011082693947
01,021,144.0,202.0,917.0,699.0,290.0,2252.0,6.394316163410302,8.969804618117228,40.719360568383664,31.039076376554174,12.877442273534637
01,022,65.0,192.0,740.0,478.0,186.0,1661.0,3.9133052378085487,11.55930162552679,44.551475015051174,28.777844671884406,11.19807344972908
01,023,138.0,243.0,831.0,651.0,233.0,2096.0,6.583969465648855,11.59351145038168,39.646946564885496,31.059160305343514,11.116412213740459
01,025,93.0,182.0,594.0,433.0,128.0,1430.0,6.503496503496503,12.727272727272727,41.53846153846154,30.27972027972028,8.951048951048952
01,026,720.0,1342.0,6181.0,3976.0,575.0,12794.0,5.627637955291543,10.489291855557292,48.311708613412534,31.077067375332184,4.494294200406441
01,027,107.0,188.0,566.0,545.0,161.0,1567.0,6.828334396936822,11.997447351627313,36.11997447351627,34.779834077855774,10.274409700063817
01,028,126.0,223.0,914.0,592.0,215.0,2070.0,6.086956521739131,10.772946859903382,44.15458937198068,28.599033816425123,10.38647342995169
01,029,76.0,175.0,660.0,471.0,108.0,1490.0,5.100671140939597,11.74496644295302,44.29530201342282,31.610738255033553,7.248322147651007
01,030,212.0,294.0,948.0,792.0,340.0,2586.0,8.19798917246713,11.36890951276102,36.65893271461717,30.62645011600928,13.147718484145399
01,031,149.0,197.0,795.0,572.0,148.0,1861.0,8.006448146157979,10.585706609349813,42.718968296614726,30.736163353036,7.952713594841483
01,032,68.0,129.0,652.0,575.0,283.0,1707.0,3.9835969537199762,7.5571177504393665,38.195664909197426,33.68482718219098,16.578793204452253
01,033,60.0,67.0,489.0,334.0,113.0,1063.0,5.644402634054563,6.302916274694262,46.001881467544685,31.420507996237063,10.630291627469427
01,034,24.0,80.0,399.0,329.0,93.0,925.0,2.5945945945945943,8.64864864864865,43.13513513513513,35.567567567567565,10.054054054054054
01,035,35.0,100.0,457.0,372.0,132.0,1096.0,3.1934306569343067,9.124087591240876,41.6970802919708,33.941605839416056,12.043795620437956
01,036,92.0,123.0,302.0,435.0,214.0,1166.0,7.890222984562607,10.548885077186965,25.900514579759864,37.307032590051456,18.353344768439108
01,037,90.0,118.0,350.0,469.0,235.0,1262.0,7.131537242472266,9.350237717908081,27.733755942947703,37.163232963549916,18.62123613312203
01,038,80.0,131.0,595.0,466.0,152.0,1424.0,5.617977528089887,9.199438202247192,41.78370786516854,32.7247191011236,10.674157303370785
01,039,55.0,113.0,483.0,444.0,179.0,1274.0,4.3171114599686025,8.869701726844584,37.91208791208791,34.850863422291994,14.050235478806908
01,040,85.0,84.0,393.0,341.0,144.0,1047.0,8.118433619866284,8.022922636103152,37.53581661891118,32.56924546322827,13.753581661891118
01,041,83.0,119.0,640.0,514.0,100.0,1456.0,5.700549450549451,8.173076923076923,43.956043956043956,35.3021978021978,6.868131868131869
01,042,140.0,163.0,468.0,552.0,462.0,1785.0,7.8431372549019605,9.131652661064425,26.218487394957986,30.92436974789916,25.882352941176475
01,043,132.0,152.0,603.0,606.0,143.0,1636.0,8.06845965770171,9.290953545232274,36.858190709046454,37.04156479217604,8.74083129584352
01,044,105.0,133.0,498.0,520.0,157.0,1413.0,7.43099787685775,9.412597310686483,35.24416135881104,36.80113234253361,11.11111111111111
01,045,107.0,163.0,946.0,586.0,176.0,1978.0,5.409504550050556,8.240647118301315,47.82608695652174,29.625884732052576,8.897876643073811
01,046,101.0,184.0,814.0,566.0,165.0,1830.0,5.51912568306011,10.05464480874317,44.48087431693989,30.92896174863388,9.01639344262295
01,047,101.0,154.0,693.0,552.0,220.0,1720.0,5.872093023255814,8.953488372093023,40.29069767441861,32.093023255813954,12.790697674418606
01,048,218.0,221.0,740.0,740.0,212.0,2131.0,10.22993899577663,10.370717972782732,34.7254809948381,34.7254809948381,9.94838104176443
01,049,151.0,182.0,522.0,455.0,178.0,1488.0,10.14784946236559,12.231182795698924,35.08064516129033,30.577956989247312,11.96236559139785
01,050,117.0,150.0,642.0,490.0,181.0,1580.0,7.405063291139241,9.49367088607595,40.63291139240506,31.0126582278481,11.455696202531646
01,051,159.0,159.0,709.0,631.0,121.0,1779.0,8.937605396290051,8.937605396290051,39.85385047779651,35.46936481169196,6.801573917931422
01,052,210.0,301.0,751.0,816.0,315.0,2393.0,8.775595486836608,12.57835353113247,31.383201002925198,34.09945674885081,13.163393230254911
01,053,102.0,163.0,647.0,634.0,308.0,1854.0,5.501618122977346,8.791801510248112,34.8975188781014,34.19633225458468,16.61272923408846
01,054,61.0,91.0,470.0,411.0,135.0,1168.0,5.222602739726027,7.7910958904109595,40.23972602739726,35.18835616438356,11.558219178082192
01,055,139.0,101.0,329.0,434.0,308.0,1311.0,10.602593440122044,7.704042715484364,25.095347063310452,33.10450038138825,23.49351639969489
02,001,136.0,126.0,313.0,492.0,276.0,1343.0,10.126582278481013,9.381980640357408,23.3060312732688,36.63440059568131,20.551005212211468
02,002,479.0,657.0,2066.0,1874.0,605.0,5681.0,8.431614152437952,11.564865340609048,36.36683682450273,32.98715014962155,10.649533532828727
02,003,62.0,168.0,263.0,335.0,318.0,1146.0,5.4101221640488655,14.659685863874344,22.949389179755673,29.232111692844676,27.748691099476442
02,004,164.0,117.0,427.0,478.0,288.0,1474.0,11.12618724559023,7.937584803256445,28.968792401628225,32.42876526458616,19.53867028493894
02,005,208.0,247.0,591.0,820.0,525.0,2391.0,8.699289000418235,10.330405687996654,24.717691342534504,34.2952739439565,21.9573400250941
02,006,178.0,156.0,397.0,549.0,385.0,1665.0,10.69069069069069,9.36936936936937,23.843843843843842,32.972972972972975,23.123123123123122
02,007,92.0,131.0,359.0,461.0,312.0,1355.0,6.789667896678966,9.66789667896679,26.494464944649447,34.02214022140221,23.025830258302584
02,008,211.0,165.0,478.0,639.0,417.0,1910.0,11.047120418848168,8.638743455497382,25.026178010471206,33.45549738219895,21.832460732984295
02,009,194.0,128.0,462.0,586.0,388.0,1758.0,11.035267349260524,7.281001137656427,26.27986348122867,33.33333333333333,22.070534698521048
02,010,123.0,107.0,299.0,394.0,275.0,1198.0,10.267111853088482,8.931552587646078,24.958263772954925,32.8881469115192,22.95492487479132
02,011,82.0,87.0,307.0,344.0,281.0,1101.0,7.447774750227067,7.901907356948229,27.883742052679384,31.244323342415985,25.522252497729337
02,012,156.0,146.0,434.0,505.0,333.0,1574.0,9.91105463786531,9.275730622617536,27.573062261753496,32.08386277001271,21.156289707750954
02,013,71.0,114.0,382.0,394.0,147.0,1108.0,6.407942238267148,10.288808664259928,34.47653429602888,35.55956678700361,13.267148014440433
